Test Number, InfiniteList, list
1, 8.941699999999442e-05 seconds, 1.3750000000006812e-05 seconds
2, 8.404200000000639e-05 seconds, 1.9417000000007678e-05 seconds
3, 7.891599999999832e-05 seconds, 1.2833999999989354e-05 seconds
4, 0.00010408400000000428 seconds, 2.6334000000002855e-05 seconds
5, 0.00010037499999998589 seconds, 2.1833999999998355e-05 seconds
6, 8.791699999999292e-05 seconds, 2.2791999999993706e-05 seconds
7, 9.67499999999788e-05 seconds, 1.704200000002265e-05 seconds
8, 9.091599999999644e-05 seconds, 1.5999999999988246e-05 seconds
9, 8.125000000000493e-05 seconds, 1.495899999998107e-05 seconds
10, 8.662500000000684e-05 seconds, 1.5833000000020636e-05 seconds
11, 9.633400000000347e-05 seconds, 1.7292000000002083e-05 seconds
12, 7.39160000000072e-05 seconds, 1.1916000000000704e-05 seconds
13, 6.941600000004433e-05 seconds, 1.0916999999999177e-05 seconds
14, 7.525000000002668e-05 seconds, 1.3874999999996529e-05 seconds
15, 7.687500000003178e-05 seconds, 1.36670000000505e-05 seconds
16, 8.637499999997189e-05 seconds, 1.579200000001446e-05 seconds
17, 7.420800000002004e-05 seconds, 1.4958000000009353e-05 seconds
18, 7.362500000002159e-05 seconds, 1.2083999999967787e-05 seconds
19, 6.695900000003308e-05 seconds, 1.1416000000041837e-05 seconds
20, 6.708300000002332e-05 seconds, 1.0750000000003812e-05 seconds
21, 6.700000000003925e-05 seconds, 1.0708000000025919e-05 seconds
22, 6.60000000000105e-05 seconds, 1.1334000000029487e-05 seconds
23, 6.804100000001867e-05 seconds, 1.2542000000004272e-05 seconds
24, 6.741700000001405e-05 seconds, 1.0833000000043391e-05 seconds
25, 6.63750000000074e-05 seconds, 1.1333000000002258e-05 seconds
26, 6.545900000004545e-05 seconds, 1.5125000000004718e-05 seconds
27, 6.824999999999193e-05 seconds, 1.1790999999983232e-05 seconds
28, 9.091700000002367e-05 seconds, 2.6957999999965843e-05 seconds
29, 8.504100000000792e-05 seconds, 1.1333999999973976e-05 seconds
30, 6.64169999999853e-05 seconds, 1.233399999994722e-05 seconds
31, 6.658399999998066e-05 seconds, 1.0958000000005352e-05 seconds
