Test Number, InfiniteList, list
1, 0.012561583000000001 seconds, 1.4165999999996015e-05 seconds
2, 0.012384459 seconds, 7.959000000001826e-06 seconds
3, 0.013049916999999994 seconds, 1.0957999999991475e-05 seconds
4, 0.012485083999999994 seconds, 1.0249999999989434e-05 seconds
5, 0.01252341600000001 seconds, 1.0667000000019744e-05 seconds
6, 0.012785832999999996 seconds, 1.0500000000024379e-05 seconds
7, 0.012660624999999981 seconds, 9.167000000004366e-06 seconds
8, 0.012389375000000008 seconds, 9.874999999992529e-06 seconds
9, 0.01235483300000001 seconds, 1.0500000000024379e-05 seconds
10, 0.037502167 seconds, 1.0958000000005352e-05 seconds
11, 0.013737749999999993 seconds, 7.417000000009555e-06 seconds
12, 0.012632500000000019 seconds, 6.625000000037851e-06 seconds
13, 0.012354000000000032 seconds, 9.083999999992542e-06 seconds
14, 0.012146333999999981 seconds, 8.332999999971502e-06 seconds
15, 0.012451792000000017 seconds, 8.959000000030581e-06 seconds
16, 0.012250874999999994 seconds, 7.582999999977691e-06 seconds
17, 0.012089125000000034 seconds, 6.999999999979245e-06 seconds
18, 0.011941166999999975 seconds, 6.0000000000060005e-06 seconds
19, 0.012126125000000043 seconds, 5.8750000000440394e-06 seconds
20, 0.012076208000000033 seconds, 6.291999999963327e-06 seconds
21, 0.012081000000000008 seconds, 6.0000000000060005e-06 seconds
22, 0.012037832999999998 seconds, 6.791999999977705e-06 seconds
23, 0.011934874999999956 seconds, 6.457999999986974e-06 seconds
24, 0.011763917000000013 seconds, 5.9160000000502144e-06 seconds
25, 0.011884624999999982 seconds, 6.0000000000060005e-06 seconds
26, 0.011914625000000012 seconds, 6.208000000007541e-06 seconds
27, 0.01269358399999998 seconds, 1.399999999995849e-05 seconds
28, 0.012026042000000015 seconds, 6.41700000003631e-06 seconds
29, 0.012017749999999994 seconds, 6.541999999998271e-06 seconds
30, 0.011906417000000002 seconds, 6.167000000001366e-06 seconds
31, 0.012239874999999956 seconds, 8.332999999971502e-06 seconds
32, 0.01306579200000002 seconds, 1.724999999996868e-05 seconds
33, 0.017819082999999902 seconds, 9.542000000029027e-06 seconds
34, 0.01226583399999992 seconds, 8.708999999940126e-06 seconds
35, 0.011870999999999965 seconds, 6.249999999985434e-06 seconds
36, 0.011829042000000012 seconds, 6.20900000003477e-06 seconds
37, 0.011936083000000042 seconds, 7.042000000012649e-06 seconds
38, 0.012031291 seconds, 6.458999999958692e-06 seconds
39, 0.012108000000000008 seconds, 5.917000000077444e-06 seconds
40, 0.012093875000000032 seconds, 6.167000000001366e-06 seconds
41, 0.012106375000000003 seconds, 6.166000000029648e-06 seconds
42, 0.012088500000000058 seconds, 5.8750000000440394e-06 seconds
43, 0.01205795799999998 seconds, 5.667000000042499e-06 seconds
44, 0.012056458999999964 seconds, 5.999999999950489e-06 seconds
45, 0.012058874999999913 seconds, 6.167000000001366e-06 seconds
46, 0.01205624999999999 seconds, 5.666000000070781e-06 seconds
47, 0.012125666999999951 seconds, 5.667000000042499e-06 seconds
48, 0.012151916999999957 seconds, 6.249999999985434e-06 seconds
49, 0.012053959000000058 seconds, 8.875000000019284e-06 seconds
50, 0.011974833000000018 seconds, 6.375000000002906e-06 seconds
51, 0.012061333000000007 seconds, 6.458999999958692e-06 seconds
52, 0.01218529200000007 seconds, 6.332999999969502e-06 seconds
53, 0.01230925000000005 seconds, 7.749999999973056e-06 seconds
54, 0.012167457999999964 seconds, 6.334000000052242e-06 seconds
55, 0.012208374999999938 seconds, 6.6659999999885144e-06 seconds
56, 0.012188874999999988 seconds, 6.332999999969502e-06 seconds
57, 0.012220707999999969 seconds, 6.375000000002906e-06 seconds
